id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
1,Lexus,ES,300h Business Plus,2023.0,43000.0,Otomatik,Benzin,Sedan,Siyah,2250.0,213.0,1.0,1.0,Galeriden,4950000.0
5,Lexus,GS,200t F Sport,2016.0,90500.0,Otomatik,Benzin,Sedan,Beyaz,1900.0,238.0,0.0,0.0,Galeriden,2745000.0
8,Infiniti,Q50,2.0,2016.0,150000.0,Otomatik,Benzin,Sedan,Beyaz,1900.0,213.0,0.0,0.0,Galeriden,1950000.0
10,Ikco,Samand,1.6 LX,2008.0,275000.0,Düz,Benzin,Sedan,Gri,1500.0,113.0,0.0,0.0,Galeriden,262000.0
14,Infiniti,Q60,2.0,2017.0,148000.0,Otomatik,Benzin,Coupe,Füme,1900.0,213.0,0.0,4.0,Galeriden,2260060.0
15,Lexus,ES,300h Business,2019.0,162000.0,Otomatik,Hibrit,Sedan,Siyah,2494.0,178.0,0.0,0.0,Galeriden,2450000.0
16,Lexus,ES,300h Exclusive,2019.0,154000.0,Otomatik,Hibrit,Sedan,Siyah,2487.0,218.0,3.0,0.0,Galeriden,4000000.0
19,Ikco,Samand,1.6 LX,2008.0,157000.0,Düz,LPG & Benzin,Sedan,Siyah,1587.0,106.0,0.0,2.0,Sahibinden,280000.0
20,Ikco,Samand,1.6 LX,2009.0,198000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1587.0,106.0,0.0,7.0,Sahibinden,240000.0
22,Ikco,Samand,1.6 LX,2009.0,205000.0,Düz,LPG & Benzin,Sedan,Siyah,1500.0,113.0,0.0,0.0,Galeriden,229999.0
27,Infiniti,Q30,1.6,2016.0,97000.0,Yarı Otomatik,Benzin,SUV,Kırmızı,1595.0,156.0,0.0,1.0,Sahibinden,1250000.0
33,Lexus,ES,300h Exclusive,2020.0,58000.0,Otomatik,LPG & Benzin,Sedan,Siyah,2494.0,178.0,3.0,2.0,Galeriden,2995000.0
38,Lada,Samara,1.5,2001.0,220000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1500.0,78.0,0.0,1.0,Sahibinden,185000.0
42,Lexus,IS,200t Executive,2016.0,77000.0,Otomatik,Benzin,Sedan,Füme,1900.0,238.0,0.0,2.0,Galeriden,2150000.0
48,Ikco,Samand,1.6 LX,2009.0,270000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1587.0,106.0,0.0,0.0,Sahibinden,260000.0
51,Lada,Samara,1.5,2000.0,236000.0,Düz,Benzin,Hatchback/5,Mavi,1500.0,78.0,0.0,0.0,Sahibinden,165000.0
52,Lada,Vega,1.5,2005.0,142000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1499.0,93.0,0.0,0.0,Sahibinden,220000.0
55,Lada,Vega,1.5,2000.0,173478.0,Düz,LPG & Benzin,Sedan,Bordo,1499.0,78.0,1.0,0.0,Sahibinden,160000.0
56,Lada,Samara,1.5,2004.0,87000.0,Düz,Benzin,Hatchback/5,Gri,1500.0,88.0,0.0,1.0,Galeriden,225000.0
61,Lada,Samara,1.5,2000.0,200000.0,Düz,Benzin,Hatchback/5,Yeşil,1500.0,78.0,0.0,0.0,Galeriden,155000.0
62,Lada,Vega,1.6,2006.0,205000.0,Düz,Benzin,Hatchback/5,Gri,1596.0,90.0,0.0,0.0,Galeriden,210000.0
65,Lada,Samara,1.5,1994.0,64000.0,Düz,Benzin,Hatchback/5,Bordo,1499.0,68.0,0.0,0.0,Galeriden,197000.0
69,Lada,Vega,1.5,2004.0,340000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1499.0,93.0,0.0,0.0,Sahibinden,155000.0
73,Lada,Vega,1.5,1999.0,285000.0,Düz,Benzin,Sedan,Gri,1499.0,78.0,0.0,0.0,Galeriden,155000.0
75,Lada,Vega,1.5,2001.0,317000.0,Düz,Benzin,Sedan,Gri,1500.0,88.0,0.0,0.0,Galeriden,164750.0
76,Lada,Samara,1.5,1994.0,215000.0,Düz,LPG & Benzin,Hatchback/3,Kırmızı,1500.0,75.0,0.0,0.0,Sahibinden,190000.0
80,Lada,Vega,1.5,2001.0,171000.0,Düz,Benzin,Sedan,Mavi,1499.0,78.0,2.0,6.0,Galeriden,189900.0
87,Lada,Samara,1.5,1993.0,159000.0,Düz,Benzin,Hatchback/5,Beyaz,1499.0,68.0,0.0,0.0,Galeriden,157000.0
88,Lada,Vega,1.5,2005.0,100000.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),1499.0,93.0,0.0,0.0,Sahibinden,225000.0
89,Lada,Vega,1.5,2004.0,256168.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1499.0,93.0,0.0,0.0,Galeriden,260000.0
94,Daewoo,Lanos,1.5 SE,1999.0,270000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,0.0,0.0,Galeriden,215000.0
96,Daewoo,Nubira,1.6 SX,2001.0,277000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1598.0,106.0,0.0,8.0,Sahibinden,242000.0
98,Daewoo,Lanos,1.5 SE,2001.0,288000.0,Düz,LPG & Benzin,Sedan,Beyaz,1498.0,86.0,0.0,2.0,Sahibinden,200000.0
100,Daewoo,Leganza,2.0 CDX,1998.0,220000.0,Otomatik,LPG & Benzin,Sedan,Siyah,1998.0,133.0,0.0,0.0,Galeriden,225000.0
101,Daewoo,Lanos,1.5 SE,1998.0,350000.0,Düz,Benzin,Sedan,Beyaz,1498.0,86.0,0.0,0.0,Galeriden,180000.0
103,Daewoo,Lanos,1.6 SX,1998.0,270500.0,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1300.0,88.0,0.0,3.0,Sahibinden,210000.0
108,Daewoo,Nexia,1.5 GLE,1997.0,140000.0,Düz,LPG & Benzin,Sedan,Lacivert,1498.0,80.0,0.0,0.0,Sahibinden,162500.0
112,Daewoo,Lanos,1.6 SX,1998.0,288000.0,Düz,Benzin,Hatchback/5,Kırmızı,1598.0,106.0,0.0,0.0,Galeriden,194000.0
126,Daewoo,Lanos,1.6 SX,1998.0,200000.0,Düz,LPG & Benzin,Hatchback/3,Beyaz,1598.0,106.0,0.0,1.0,Sahibinden,250000.0
135,Daewoo,Espero,2.0i,1996.0,180000.0,Düz,LPG & Benzin,Sedan,Lacivert,1998.0,105.0,0.0,0.0,Galeriden,200000.0
141,BMW,5 Serisi,520i 50th Year M Edition,2022.0,83000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,0.0,Sahibinden,3550000.0
142,BMW,2 Serisi,216d Gran Coupe First Edition Sport Line,2021.0,92000.0,Otomatik,Benzin,Sedan,Mavi,1500.0,113.0,0.0,0.0,Galeriden,1790999.0
144,BMW,1 Serisi,118i Joy Plus,2015.0,184000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1500.0,138.0,0.0,0.0,Galeriden,1135000.0
145,BMW,3 Serisi,316i M Sport,2014.0,150000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,138.0,2.0,5.0,Galeriden,1175000.0
146,BMW,3 Serisi,320i Premium,2006.0,238000.0,Otomatik,Benzin,Sedan,Gri,1900.0,138.0,0.0,7.0,Galeriden,649000.0
147,BMW,3 Serisi,320i ED Luxury Line,2014.0,280000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,1.0,3.0,Galeriden,1175000.0
148,BMW,5 Serisi,520d Comfort,2012.0,315000.0,Otomatik,Benzin,Sedan,Füme,1995.0,184.0,0.0,5.0,Galeriden,1250000.0
150,BMW,3 Serisi,320i M Sport,2022.0,68000.0,Otomatik,Benzin,Sedan,Mavi,1500.0,163.0,0.0,0.0,Galeriden,3025000.0
151,BMW,3 Serisi,320i First Edition Sport Line,2019.0,115000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,0.0,Galeriden,2325000.0
152,BMW,5 Serisi,520i Comfort,2016.0,163000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,0.0,0.0,Galeriden,1675000.0
153,BMW,5 Serisi,520i Standart,1996.0,405000.0,Düz,LPG & Benzin,Sedan,Gri,1900.0,138.0,1.0,5.0,Galeriden,360000.0
